trajectory_id,start_time,end_time,rpm_average,rpm_medium,rpm_max,rpm_std,speed_average,speed_medium,speed_max,speed_std,labels
2.01E+13,2007-10-10T15:23:32.000000000,2007-10-10T15:32:59.000000000,2.215138181,2.27421615,2.858530437,0.428624903,-0.005093148,-0.002308197,0.064714383,0.037740239,speed
2.01E+13,2007-10-11T01:15:20.000000000,2007-10-11T01:22:10.000000000,3.711810078,3.650651073,6.357833735,1.927169616,-0.01621803,-0.001477834,0.10478989,0.093413152,speed
2.01E+13,2007-10-12T00:55:37.000000000,2007-10-12T01:01:07.000000000,4.190793444,4.165424342,8.630862073,2.006701242,-0.05433681,-0.010467313,0.284041409,0.320456331,speed
2.01E+13,2007-10-15T01:18:22.000000000,2007-10-15T01:25:59.000000000,3.734378246,4.028764294,5.373639826,1.294237996,-0.016105284,-0.000296561,0.181568202,0.111820088,speed
2.01E+13,2007-10-15T15:11:05.000000000,2007-10-15T15:17:45.000000000,6.188654938,5.332044712,29.15807822,5.481797925,-0.455942256,0.012716108,2.314797155,2.75384728,speed
2.01E+13,2007-10-16T01:25:35.000000000,2007-10-16T01:33:43.000000000,5.268661783,4.365946768,41.59941746,7.011890635,-0.552947013,0.009664585,1.765938187,2.971340635,speed
2.01E+13,2007-10-18T01:11:40.000000000,2007-10-18T01:20:54.000000000,3.81809672,3.912210902,9.245044889,1.899897695,-0.05729128,0.000905321,0.569958715,0.27282392,speed
2.01E+13,2007-10-18T15:09:39.000000000,2007-10-18T15:23:52.000000000,2.401760212,2.402274397,7.18845695,1.11074656,-0.001053644,-8.66E-09,0.147422263,0.046653189,speed
2.01E+13,2007-10-19T01:09:35.000000000,2007-10-19T01:17:15.000000000,3.84062375,3.45975133,7.109704288,1.926542232,-0.016440167,0.001152638,0.152395392,0.091694026,speed
2.01E+13,2007-10-22T00:37:37.000000000,2007-10-22T00:45:36.000000000,3.528803461,3.146823586,6.595047953,1.845198143,-0.003804946,-0.012312831,0.12724003,0.063431695,speed
2.01E+13,2007-10-23T01:26:40.000000000,2007-10-23T01:31:44.000000000,3.699736129,3.857172801,6.749528095,1.932034645,-0.027055228,0.009380315,0.230866357,0.154031477,speed
2.01E+13,2007-10-23T15:21:35.000000000,2007-10-23T15:26:46.000000000,4.645770097,5.904721034,8.213580349,2.267103969,-0.071709919,-0.010320599,0.181877398,0.252738532,speed
2.01E+13,2007-10-24T01:13:41.000000000,2007-10-24T01:18:39.000000000,3.702048982,3.854225133,5.939654079,1.354616603,-0.005498299,-0.008694078,0.117651294,0.065380632,speed
2.01E+13,2007-10-26T15:06:17.000000000,2007-10-26T15:13:12.000000000,3.579507526,3.209573232,7.435078777,2.101449185,0.003992513,0.011886948,0.227354539,0.088112816,speed
2.01E+13,2007-10-27T05:28:47.000000000,2007-10-27T05:36:55.000000000,3.60097797,3.706722704,5.383471344,1.289338217,-0.000934812,0.004426091,0.155508251,0.05997649,speed
2.01E+13,2007-11-01T15:07:36.000000000,2007-11-01T15:12:05.000000000,2.900898137,2.901228472,3.703871794,0.390939323,-0.002226114,-0.004984507,0.051632788,0.023984657,speed
2.01E+13,2007-11-02T12:59:40.000000000,2007-11-02T15:04:05.000000000,4.338655073,3.162559076,47.92453004,6.022163404,-0.423091306,-0.001955851,1.109325703,2.148364527,speed
2.01E+13,2007-11-03T05:03:13.000000000,2007-11-03T05:50:39.000000000,3.706711491,2.43611012,37.93667216,5.489528739,-0.511356607,-0.014498568,1.223301683,1.934843808,speed
2.01E+13,2007-11-08T01:05:36.000000000,2007-11-08T01:12:14.000000000,3.561228886,4.237586212,4.709072363,1.428515493,-0.009854612,-0.0027099,0.13538444,0.091200611,speed
2.01E+13,2008-06-18T09:22:10.000000000,2008-06-18T09:22:45.000000000,21.70835238,18.19230124,54.67169859,15.65797647,3.123229196,1.86830758,16.83846799,7.667032738,steering_angle
